,loss,decoder_Conv_layer_loss,forecaster_Conv_layer_loss,val_loss,val_decoder_Conv_layer_loss,val_forecaster_Conv_layer_loss
0,1.1657798290252686,0.5717054009437561,0.5940744280815125,1.1785047054290771,0.577420711517334,0.6010842323303223
1,1.1063566207885742,0.5518906712532043,0.5544660687446594,1.0763742923736572,0.5300180315971375,0.5463561415672302
2,1.0942788124084473,0.549008846282959,0.5452699065208435,1.0201236009597778,0.5041477084159851,0.5159757137298584
3,1.0885720252990723,0.5456640124320984,0.5429079532623291,0.9763695597648621,0.478923499584198,0.49744606018066406
4,1.0855281352996826,0.5434966683387756,0.5420315265655518,0.9459715485572815,0.4651305079460144,0.4808407425880432
5,1.083949327468872,0.5428792834281921,0.5410702228546143,0.9214644432067871,0.45359712839126587,0.4678671360015869
6,1.0829998254776,0.5425512790679932,0.5404485464096069,0.9235894083976746,0.4516944885253906,0.47189512848854065
7,1.0821346044540405,0.5420475006103516,0.5400870442390442,0.9150081276893616,0.4476965367794037,0.46731165051460266
8,1.0818874835968018,0.5419813990592957,0.5399060845375061,0.907850980758667,0.4429095983505249,0.4649413824081421
9,1.0816929340362549,0.5419979095458984,0.5396948456764221,0.9033122062683105,0.4398185908794403,0.4634936451911926
10,1.0808804035186768,0.541558027267456,0.5393226146697998,0.8932651877403259,0.43598371744155884,0.4572814702987671
11,1.0806879997253418,0.5415438413619995,0.539143979549408,0.8913193941116333,0.4347156286239624,0.4566037952899933
12,1.0809402465820312,0.5419042706489563,0.5390359163284302,0.8827734589576721,0.43032941222190857,0.4524439871311188
13,1.0806106328964233,0.5416818261146545,0.5389289259910583,0.886377215385437,0.434104323387146,0.45227286219596863
14,1.0812402963638306,0.5423672795295715,0.5388729572296143,0.8737406730651855,0.4263148009777069,0.447425901889801
15,1.079957365989685,0.5413445830345154,0.5386130809783936,0.8736859560012817,0.4271654188632965,0.4465206563472748
16,1.0797441005706787,0.5411897301673889,0.5385541915893555,0.8704344034194946,0.4251076579093933,0.44532689452171326
17,1.0798327922821045,0.5412762761116028,0.5385565161705017,0.8708793520927429,0.42630717158317566,0.44457221031188965
18,1.0794274806976318,0.5409791469573975,0.5384480357170105,0.8627246022224426,0.42176079750061035,0.4409638047218323
19,1.0794265270233154,0.5408909320831299,0.5385355353355408,0.8583945035934448,0.4197852611541748,0.43860942125320435
20,1.0792125463485718,0.540686309337616,0.5385265350341797,0.8588312268257141,0.4201754629611969,0.43865564465522766
21,1.0796796083450317,0.5409089922904968,0.538770854473114,0.8646976351737976,0.4249643385410309,0.4397332966327667
22,1.0787967443466187,0.5403981804847717,0.5383985638618469,0.8566913604736328,0.41964271664619446,0.43704870343208313
23,1.0784682035446167,0.5402303338050842,0.5382375717163086,0.8564813733100891,0.42022791504859924,0.4362536072731018
24,1.078464150428772,0.5402548909187317,0.538209080696106,0.8539890646934509,0.41983771324157715,0.43415141105651855
25,1.0784497261047363,0.5401759743690491,0.5382736325263977,0.8589122295379639,0.4203019142150879,0.4386102855205536
26,1.0787694454193115,0.5405043959617615,0.5382646918296814,0.8511770963668823,0.4185033142566681,0.432673841714859
27,1.0779558420181274,0.5398152470588684,0.538140594959259,0.8499642610549927,0.41761666536331177,0.43234753608703613
28,1.0778484344482422,0.5398186445236206,0.5380294919013977,0.848069965839386,0.41657567024230957,0.4314941465854645
29,1.078057050704956,0.5399978160858154,0.5380592346191406,0.8501909971237183,0.41937723755836487,0.430813729763031
30,1.0778725147247314,0.5398415923118591,0.5380309820175171,0.8480598330497742,0.4197637140750885,0.4282959997653961
31,1.0779964923858643,0.5398620963096619,0.5381344556808472,0.8545253276824951,0.42159345746040344,0.43293169140815735
32,1.0780190229415894,0.539946973323822,0.5380719900131226,0.8504787087440491,0.4203454554080963,0.43013331294059753
33,1.0776598453521729,0.5395599007606506,0.5380998849868774,0.8425966501235962,0.41599902510643005,0.42659759521484375
34,1.0790940523147583,0.5409824848175049,0.5381115078926086,0.8555362820625305,0.42460668087005615,0.4309297502040863
35,1.0779662132263184,0.540037214756012,0.5379284024238586,0.8463002443313599,0.4172724783420563,0.429027795791626
36,1.0774714946746826,0.5394195318222046,0.5380519032478333,0.8434385061264038,0.415272057056427,0.4281664788722992
37,1.0773831605911255,0.5393242835998535,0.5380585193634033,0.8437485098838806,0.41655081510543823,0.4271974563598633
38,1.0772327184677124,0.5393345355987549,0.5378981828689575,0.8403298854827881,0.4146556854248047,0.4256742000579834
39,1.0773277282714844,0.5393044948577881,0.5380232930183411,0.8420653343200684,0.4149743616580963,0.42709094285964966
40,1.078018069267273,0.5398221611976624,0.5381960272789001,0.8410649299621582,0.4145701825618744,0.4264945387840271
41,1.0771387815475464,0.5390793085098267,0.538059413433075,0.8387805223464966,0.4146357774734497,0.4241446554660797
42,1.0768449306488037,0.538925051689148,0.537919819355011,0.8403897881507874,0.41497159004211426,0.4254181385040283
43,1.076784610748291,0.5388936400413513,0.5378912091255188,0.8398735523223877,0.4152756333351135,0.4245978891849518
44,1.0769978761672974,0.5390475392341614,0.5379504561424255,0.8420083522796631,0.41720229387283325,0.424806147813797
45,1.0766890048980713,0.5388240814208984,0.537864625453949,0.840323269367218,0.41499781608581543,0.425325483083725
46,1.0766651630401611,0.5387822985649109,0.5378827452659607,0.840278148651123,0.41651931405067444,0.42375874519348145
